Registry Number;Starship Name;Class;Arrival Date;Captain Name;Docking Bay
NCC-1701;USS Enterprise;Constitution;2265-02-14;James T. Kirk;5
NCC-1864;USS Reliant;Miranda;2285-06-01;Clark Terrell;12
NX-01;Enterprise;NX;2151-04-16;Jonathan Archer;8
NCC-74656;USS Voyager;Intrepid;2371-09-24;Kathryn Janeway;3
NCC-1701-D;USS Enterprise;Galaxy;2364-07-03;Jean-Luc Picard;7
NCC-2000;USS Excelsior;Excelsior;2290-01-01;Hikaru Sulu;10
NCC-1701-E;USS Enterprise;Sovereign;2372-12-25;Jean-Luc Picard;6
NCC-65530;USS Grissom;Oberth;2286-02-23;Esteban;15
NCC-58928;USS Sutherland;Nebula;2368-03-10;Shelby;14
NCC-71909;USS Defiant;Defiant;2370-12-08;Benjamin Sisko;4
NCC-80102;USS Prometheus;Prometheus;2374-05-06;Doctor;2
NCC-638;USS Farragut;Constitution;2257-11-21;Christopher Pike;9
NCC-71099;USS Lakota;Excelsior;2372-06-07;Erika Benteen;13
NCC-2893;USS Stargazer;Constellation;2333-05-22;Jean-Luc Picard;1
NCC-1701-A;USS Enterprise;Constitution Refit;2286-11-18;James T. Kirk;5
NX-74205;USS Defiant;Defiant;2371-07-28;Benjamin Sisko;11
NCC-71807;USS Hood;Excelsior;2365-04-05;Robert DeSoto;16
NCC-1860;USS Intrepid;Miranda;2270-08-19;Markel;17
NCC-3890;USS Hathaway;Constellation;2365-02-14;William T. Riker;18
NCC-1777;USS Lexington;Constitution;2270-07-19;Burtell;19
NCC-74657;USS Voyager-B;Intrepid;2379-09-24;Miral Paris;3
NCC-2544;USS Potemkin;Constitution;2275-05-12;Robert Wesley;20
NCC-1709;USS Hood;Constitution;2267-03-19;Thomas Harris;21
NCC-21166;USS Discovery;Crossfield;2256-02-11;Gabriel Lorca;22
NCC-1071;USS Shenzhou;Walker;2256-01-11;Philippa Georgiou;23
