t;x;y
0.00000;-0.14257;0.00000
0.01700;-0.14316;-0.00530
0.03400;-0.14198;-0.01237
0.05000;-0.14198;-0.01826
0.06700;-0.14081;-0.03122
0.08400;-0.13963;-0.04595
0.10000;-0.13845;-0.06304
0.11700;-0.13609;-0.08189
0.13400;-0.13668;-0.10369
0.15000;-0.13374;-0.13138
0.16700;-0.13138;-0.15966
0.18400;-0.12902;-0.18970
0.20000;-0.12902;-0.22328
0.21700;-0.12667;-0.25981
0.23400;-0.12372;-0.30105
0.25000;-0.12019;-0.34465
0.26700;-0.11724;-0.38766
0.28400;-0.11253;-0.43832
0.30000;-0.11017;-0.48781
0.31700;-0.10781;-0.54319
0.33400;-0.10487;-0.59975
0.35000;-0.10192;-0.66161
0.36700;-0.09780;-0.72524
0.38400;-0.09250;-0.77413
